Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy,704806,8.3
Jumanji,1995,Adventure|Children|Fantasy,236688,6.9
Grumpier Old Men,1995,Comedy|Romance,20921,6.6
Waiting to Exhale,1995,Comedy|Drama|Romance,8050,5.7
Father of the Bride Part II,1995,Comedy,28927,5.9
Heat,1995,Action|Crime|Thriller,476332,8.2
Sabrina,1995,Comedy|Romance,31724,6.3
Tom and Huck,1995,Adventure|Children,8269,5.6
Sudden Death,1995,Action,27751,5.7
GoldenEye,1995,Action|Adventure|Thriller,211375,7.2
Dracula: Dead and Loving It,1995,Comedy|Horror,33009,5.8
Balto,1995,Adventure|Animation|Children,33431,7.1
Nixon,1995,Drama,25610,7.1
Cutthroat Island,1995,Action|Adventure|Romance,22715,5.6
Casino,1995,Crime|Drama,372920,8.2
Sense and Sensibility,1995,Drama|Romance,85268,7.7
Four Rooms,1995,Comedy,84665,6.7
Ace Ventura: When Nature Calls,1995,Comedy,174677,6.3
Money Train,1995,Action|Comedy|Crime|Drama|Thriller,34379,5.6
Get Shorty,1995,Comedy|Crime|Thriller,66881,6.9
Copycat,1995,Crime|Drama|Horror|Mystery|Thriller,45500,6.6
Assassins,1995,Action|Crime|Thriller,68009,6.3
Powder,1995,Drama|Sci-Fi,25831,6.6
Leaving Las Vegas,1995,Drama|Romance,100091,7.6
Othello,1995,Drama,8056,6.9
Now and Then,1995,Children|Drama,22910,6.8
Dangerous Minds,1995,Drama,41341,6.4
Babe,1995,Children|Drama,101472,6.8
Dead Man Walking,1995,Crime|Drama,77979,7.6
It Takes Two,1995,Children|Comedy,16405,5.8
Clueless,1995,Comedy|Romance,139268,6.8
Cry, the Beloved Country,1995,Drama,1526,6.9
Richard III,1995,Drama|War,12308,7.5
Dead Presidents,1995,Action|Crime|Drama,16576,6.9
Restoration,1995,Drama,7944,6.7
Mortal Kombat,1995,Action|Adventure|Fantasy,87746,5.8
To Die For,1995,Comedy|Drama|Thriller,37325,6.8
How to Make an American Quilt,1995,Drama|Romance,9294,6.2
When Night Is Falling,1995,Drama|Romance,5772,6.7
Mighty Aphrodite,1995,Comedy|Drama|Romance,34007,7.1
Lamerica,1994,Adventure|Drama,1836,7.6
Georgia,1995,Drama,2547,6.5
Home for the Holidays,1995,Drama,9949,6.6
Eye for an Eye,1996,Drama|Thriller,11091,6.1
Mr. Holland's Opus,1995,Drama,31822,7.3
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,Comedy|Crime,41316,6.6
Bio-Dome,1996,Comedy,22920,4.4
Lawnmower Man 2: Beyond Cyberspace,1996,Action|Sci-Fi|Thriller,8377,2.4
Friday,1995,Comedy,83187,7.3
From Dusk Till Dawn,1996,Action|Comedy|Horror|Thriller,239943,7.3
Fair Game,1995,Action,10737,4.2
Kicking and Screaming,1995,Comedy|Drama,7894,7.0
Bed of Roses,1996,Drama|Romance,7199,6.1
Big Bully,1996,Comedy|Drama,3969,4.6
Screamers,1995,Action|Sci-Fi|Thriller,21789,6.4
Things to Do in Denver When You're Dead,1995,Crime|Drama|Romance,23523,6.8
Angels and Insects,1995,Drama|Romance,4110,7.0
White Squall,1996,Action|Adventure|Drama,19008,6.6
Dunston Checks In,1996,Children|Comedy,10452,5.3
Black Sheep,1996,Comedy,31823,6.2
Nick of Time,1995,Action|Thriller,34746,6.3
Mary Reilly,1996,Drama|Horror|Thriller,12578,5.8
Vampire in Brooklyn,1995,Comedy|Horror|Romance,18539,4.5
Beautiful Girls,1996,Comedy|Drama|Romance,28097,7.2
Broken Arrow,1996,Action|Adventure|Thriller,81632,6.0
In the Bleak Midwinter,1995,Comedy|Drama,2119,7.3
City Hall,1996,Drama|Thriller,17638,6.2
Bottle Rocket,1996,Adventure|Comedy|Crime|Romance,59209,7.1
Mr. Wrong,1996,Comedy,4497,3.8
Unforgettable,1996,Mystery|Sci-Fi|Thriller,4275,6.0
Happy Gilmore,1996,Comedy,168423,7.0
Muppet Treasure Island,1996,Adventure|Children|Comedy|Musical,17495,6.9
Braveheart,1995,Action|Drama|War,817912,8.4
Taxi Driver,1976,Crime|Drama|Thriller,571416,8.3
Before and After,1996,Drama|Mystery,7198,6.1
If Lucy Fell,1996,Comedy|Romance,3522,4.9
Boomerang,1992,Comedy|Romance,21930,5.4
Jade,1995,Thriller,9911,5.2
Down Periscope,1996,Comedy,18230,6.0
Bad Boys,1995,Action|Comedy|Crime|Drama|Thriller,189209,6.8
Amateur,1994,Crime|Drama|Thriller,4852,7.0
Rob Roy,1995,Action|Drama|Romance|War,36497,6.9
Batman Forever,1995,Action|Adventure|Comedy|Crime,206110,5.4
Beyond Rangoon,1995,Adventure|Drama|War,4338,6.6
Blue in the Face,1995,Comedy|Drama,8101,6.7
Canadian Bacon,1995,Comedy|War,14379,5.9
Casper,1995,Adventure|Children,96437,6.1
Clockers,1995,Crime|Drama|Mystery,17806,6.9
Congo,1995,Action|Adventure|Mystery|Sci-Fi,37007,5.1
Crimson Tide,1995,Drama|Thriller|War,87400,7.3
Crumb,1994,Documentary,15416,8.0
Desperado,1995,Action|Romance|Western,149465,7.2
Devil in a Blue Dress,1995,Crime|Film-Noir|Mystery|Thriller,14584,6.7
First Knight,1995,Action|Drama|Romance,59640,5.9
Free Willy 2: The Adventure Home,1995,Adventure|Children|Drama,14085,4.9
Hackers,1995,Action|Adventure|Crime|Thriller,58262,6.2
Jeffrey,1995,Comedy|Drama,5100,6.7
Johnny Mnemonic,1995,Action|Sci-Fi|Thriller,59292,5.6
Judge Dredd,1995,Action|Crime|Sci-Fi,96037,5.5
Jury Duty,1995,Comedy,6623,4.1
Kids,1995,Drama,63667,7.0
Living in Oblivion,1995,Comedy,13790,7.5
Lord of Illusions,1995,Horror,12128,6.1
Love & Human Remains,1993,Comedy|Drama,2263,6.7
Mad Love,1995,Drama|Romance,5589,5.3
Mallrats,1995,Comedy|Romance,104168,7.2
Mighty Morphin Power Rangers: The Movie,1995,Action|Children,21853,5.1
Nadja,1994,Drama,2611,6.0
Nine Months,1995,Comedy|Romance,31636,5.5
Party Girl,1995,Comedy,3815,6.6
Safe,1995,Thriller,9605,7.2
Showgirls,1995,Drama,53808,4.7
Smoke,1995,Comedy|Drama,29719,7.4
Something to Talk About,1995,Comedy|Drama|Romance,11196,5.7
Species,1995,Horror|Sci-Fi,65194,5.8
Strange Days,1995,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,58409,7.2
Three Wishes,1995,Drama|Fantasy,2328,6.2
Total Eclipse,1995,Drama|Romance,11463,6.6
Under Siege 2: Dark Territory,1995,Action,38553,5.4
Unstrung Heroes,1995,Comedy|Drama,2796,6.7
Waterworld,1995,Action|Adventure|Sci-Fi,155351,6.1
White Man's Burden,1995,Drama,4223,5.2
Wild Bill,1995,Western,5388,5.9
Bushwhacked,1995,Adventure|Comedy|Crime|Mystery,4902,5.5
Before Sunrise,1995,Drama|Romance,210714,8.1
Billy Madison,1995,Comedy,113436,6.4
Boys on the Side,1995,Comedy|Drama,10282,6.4
Circle of Friends,1995,Drama|Romance,7347,6.6
Clerks,1994,Comedy,191979,7.8
Disclosure,1994,Drama|Thriller,39560,6.0
Drop Zone,1994,Action|Thriller,16935,5.6
Destiny Turns on the Radio,1995,Comedy,1969,4.5
Death and the Maiden,1994,Drama|Thriller,19027,7.3
Dolores Claiborne,1995,Drama|Thriller,31617,7.4
Exotica,1994,Drama,15581,7.1
Exit to Eden,1994,Comedy,5832,4.1
Ed Wood,1994,Comedy|Drama,150437,7.9
French Kiss,1995,Action|Comedy|Romance,41271,6.6
Forget Paris,1995,Comedy|Romance,9982,6.4
Hideaway,1995,Thriller,5446,5.3
Fluke,1995,Children|Drama,5621,6.7
Gordy,1995,Children|Comedy|Fantasy,1706,3.9
Hoop Dreams,1994,Documentary,20884,8.3
Heavenly Creatures,1994,Crime|Drama,53288,7.4
Immortal Beloved,1994,Drama|Romance,20290,7.5
I.Q.,1994,Comedy|Romance,21084,6.2
Interview with the Vampire: The Vampire Chronicles,1994,Drama|Horror,257571,7.6
Jefferson in Paris,1995,Drama,2550,5.7
Junior,1994,Comedy|Sci-Fi,57432,4.6
Just Cause,1995,Mystery|Thriller,21147,6.4
Kiss of Death,1995,Crime|Drama|Thriller,15074,5.9
Little Women,1994,Drama,39880,7.3
Ladybird Ladybird,1994,Drama,2601,7.5
Legends of the Fall,1994,Drama|Romance|War|Western,122945,7.5
Major Payne,1995,Comedy,24817,6.2
Love Affair,1994,Drama|Romance,3944,5.9
Losing Isaiah,1995,Drama,4755,6.4
Man of the House,1995,Comedy,7147,5.0
Mixed Nuts,1994,Comedy,8712,5.4
Milk Money,1994,Comedy|Romance,9942,5.5
Miracle on 34th Street,1994,Drama,25109,6.4
Miami Rhapsody,1995,Comedy,2839,5.4
My Family,1995,Drama,3241,7.3
Murder in the First,1995,Drama|Thriller,23309,7.3
Nobody's Fool,1994,Comedy|Drama|Romance,15887,7.4
Nell,1994,Drama,24192,6.5
New Jersey Drive,1995,Crime|Drama,2367,6.7
Natural Born Killers,1994,Action|Crime|Thriller,187627,7.3
Only You,1994,Comedy|Romance,16908,6.5
Once Were Warriors,1994,Crime|Drama,27379,7.9
Poison Ivy II,1996,Drama|Thriller,4810,4.4
Outbreak,1995,Action|Drama|Sci-Fi|Thriller,96205,6.6
Pulp Fiction,1994,Comedy|Crime|Drama|Thriller,1477112,8.9
Priest,1994,Drama,8718,7.1
Quiz Show,1994,Drama,57548,7.5
Roommates,1995,Comedy|Drama,1514,6.4
Stuart Saves His Family,1995,Comedy,2391,5.3
Stargate,1994,Action|Adventure|Sci-Fi,157475,7.1
Shallow Grave,1994,Comedy|Drama|Thriller,49609,7.3
Suture,1993,Film-Noir|Thriller,1456,6.6
Tank Girl,1995,Action|Comedy|Sci-Fi,26488,5.3
Star Trek: Generations,1994,Adventure|Drama|Sci-Fi,65421,6.6
Tales from the Hood,1995,Action|Crime|Horror,5186,6.2
Tom & Viv,1994,Drama,1369,6.5
Village of the Damned,1995,Horror|Sci-Fi,23863,5.6
Tommy Boy,1995,Comedy,66806,7.1
Vanya on 42nd Street,1994,Drama,3663,7.5
Underneath,1995,Mystery|Thriller,2745,6.2
What's Eating Gilbert Grape,1993,Drama,185200,7.8
Virtuosity,1995,Action|Sci-Fi|Thriller,24921,5.6
While You Were Sleeping,1995,Comedy|Romance,77975,6.7
Muriel's Wedding,1994,Comedy,30018,7.2
Ace Ventura: Pet Detective,1994,Comedy,236240,6.9
Bitter Moon,1992,Drama|Film-Noir|Romance,28437,7.2
Bullets Over Broadway,1994,Comedy,31528,7.5
Clear and Present Danger,1994,Action|Crime|Drama|Thriller,75175,6.9
Corrina, Corrina,1994,Comedy|Drama|Romance,10767,6.5
Crooklyn,1994,Comedy|Drama,6669,6.9
Cobb,1994,Drama,6275,6.5
Forrest Gump,1994,Comedy|Drama|Romance|War,1425423,8.8
Four Weddings and a Funeral,1994,Comedy|Romance,116667,7.1
Higher Learning,1995,Drama,15725,6.5
I Like It Like That,1994,Comedy|Drama|Romance,1300,6.8
